UF,HDI 2017,HDI Education 2017,HDI Wealth 2017,HDI Health 2017,HDI 2010,HDI Education 2010,HDI Wealth 2010,HDI Health 2010,HDI 2000,HDI Education 2000,HDI Wealth 2000,HDI Health 2000,HDI 1991,HDI Education 1991,HDI Wealth 1991,HDI Health 1991
AC,0.719,0.682,0.664,0.821,0.663,0.559,0.671,0.777,0.517,0.325,0.612,0.694,0.402,0.176,0.574,0.645
AL,0.683,0.636,0.639,0.783,0.631,0.520,0.641,0.755,0.471,0.282,0.574,0.647,0.370,0.174,0.527,0.552
AM,0.733,0.735,0.682,0.786,0.674,0.561,0.677,0.805,0.515,0.324,0.608,0.692,0.430,0.204,0.605,0.645
AP,0.740,0.710,0.695,0.820,0.708,0.629,0.694,0.813,0.577,0.424,0.638,0.711,0.472,0.254,0.620,0.668
BA,0.714,0.654,0.685,0.812,0.660,0.555,0.663,0.783,0.512,0.332,0.594,0.680,0.386,0.182,0.543,0.582
CE,0.735,0.717,0.676,0.818,0.682,0.615,0.651,0.793,0.541,0.377,0.588,0.713,0.405,0.204,0.532,0.613
DF,0.850,0.804,0.859,0.890,0.824,0.742,0.863,0.873,0.725,0.582,0.805,0.814,0.616,0.419,0.762,0.731
ES,0.772,0.732,0.740,0.850,0.740,0.653,0.743,0.835,0.640,0.491,0.687,0.777,0.505,0.304,0.619,0.686
GO,0.769,0.740,0.747,0.822,0.735,0.646,0.742,0.827,0.615,0.439,0.686,0.773,0.487,0.273,0.633,0.668
MA,0.687,0.682,0.623,0.764,0.639,0.562,0.612,0.757,0.476,0.312,0.531,0.649,0.357,0.173,0.478,0.551
MG,0.787,0.753,0.741,0.875,0.731,0.638,0.730,0.838,0.624,0.470,0.680,0.759,0.478,0.257,0.618,0.689
MS,0.766,0.710,0.748,0.847,0.729,0.629,0.740,0.833,0.613,0.445,0.687,0.752,0.488,0.259,0.641,0.699
MT,0.774,0.758,0.742,0.825,0.725,0.635,0.732,0.821,0.601,0.426,0.689,0.740,0.449,0.221,0.627,0.654
PA,0.698,0.661,0.654,0.788,0.646,0.528,0.646,0.789,0.518,0.319,0.601,0.725,0.413,0.194,0.567,0.640
PB,0.722,0.671,0.694,0.809,0.658,0.555,0.656,0.783,0.506,0.331,0.582,0.672,0.382,0.191,0.515,0.565
PE,0.727,0.685,0.682,0.821,0.673,0.574,0.673,0.789,0.544,0.372,0.615,0.705,0.440,0.232,0.569,0.617
PI,0.697,0.666,0.660,0.771,0.646,0.547,0.635,0.777,0.484,0.301,0.556,0.676,0.362,0.164,0.488,0.595
PR,0.792,0.764,0.771,0.843,0.749,0.668,0.757,0.830,0.650,0.522,0.704,0.747,0.507,0.298,0.644,0.679
RJ,0.796,0.763,0.769,0.858,0.761,0.675,0.782,0.835,0.664,0.530,0.745,0.740,0.573,0.392,0.696,0.690
RN,0.731,0.677,0.680,0.849,0.684,0.597,0.678,0.792,0.552,0.396,0.608,0.700,0.428,0.242,0.547,0.591
RO,0.725,0.703,0.699,0.776,0.690,0.577,0.712,0.800,0.537,0.345,0.654,0.688,0.407,0.181,0.585,0.635
RR,0.752,0.771,0.706,0.781,0.707,0.628,0.695,0.809,0.598,0.457,0.652,0.717,0.459,0.240,0.643,0.628
RS,0.787,0.729,0.787,0.849,0.746,0.642,0.769,0.840,0.664,0.505,0.720,0.804,0.542,0.328,0.667,0.729
SC,0.808,0.779,0.783,0.866,0.774,0.697,0.773,0.860,0.674,0.526,0.717,0.812,0.543,0.329,0.648,0.753
SE,0.702,0.640,0.677,0.799,0.665,0.560,0.672,0.781,0.518,0.343,0.596,0.678,0.413,0.211,0.552,0.581
SP,0.826,0.828,0.796,0.854,0.783,0.719,0.789,0.845,0.702,0.581,0.756,0.786,0.578,0.363,0.729,0.730
TO,0.743,0.727,0.696,0.811,0.699,0.624,0.690,0.793,0.525,0.348,0.605,0.688,0.369,0.155,0.549,0.589
